George Mason Dr & Wilson Blvd,170,15
Georgetown Harbor / 30th St NW,72,19
Georgia & Missouri Ave NW,371,19
Georgia & New Hampshire Ave NW,28,15
Georgia Ave & Emerson St NW,216,19
Georgia Ave & Kennedy St NW,508,19
Georgia Ave & Piney Branch Rd NW,449,15
Georgia Ave & Spring St,296,11
Georgia Ave and Fairmont St NW,44,11
Glebe Rd & 11th St N,180,11
Good Hope & Naylor Rd SE,34,11
Good Hope Rd & 14th St SE,179,15
Good Hope Rd & MLK Ave SE,40,11
Grandview & Blueridge Ave,465,15
Greensboro & International Dr,450,11
Hains Point/Buckeye & Ohio Dr SW,305,17
Hamlin & 7th St NE,254,15
Harvard St & Adams Mill Rd NW,85,15
Henry Bacon Dr & Lincoln Memorial Circle NW,409,19
Henry St & Pendleton St,195,17
Independence Ave & L'Enfant Plaza SW/DOE,253,15
Iwo Jima Memorial/N Meade & 14th St N,329,19
Jefferson Dr & 14th St SW,168,23
Jefferson Memorial,178,23
John McCormack Dr & Michigan Ave NE,30,11
Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,499,19
Jones Branch & Westbranch Dr,430,13
Kennebec St & 11th St N,405,15
Kennedy Center,77,19
Key Blvd & N Quinn St,161,11
Key West Ave & Diamondback Dr,492,11
Key West Ave & Great Seneca Hwy,481,11
Key West Ave & Siesta Key Way,378,15
King Farm Blvd & Piccard Dr,299,15
King Farm Blvd & Pleasant Dr,298,18
King St & Patrick St,192,15
King St Metro North / Cameron St,381,15
King St Metro South,197,23
L'Enfant Plaza / 7th & C St SW,75,15
Lamont & Mt Pleasant NW,21,19
Lee Center,415,15
Lee Hwy & N Adams St,173,19
Lee Hwy & N Cleveland St,332,15
Lee Hwy & N Kirkwood Rd,356,15
Lee Hwy & N Monroe St,354,15
Lee Hwy & N Scott St,335,15
Lee Hwy & N Woodstock St,379,19
Library St & Freedom Dr,441,19
Lincoln Memorial,204,25
Lincoln Park / 13th & East Capitol St NE ,99,25
Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,506,19
Livingston Rd & 3rd St SE,498,15
Long Bridge Park/Long Bridge Dr & 6th St S,307,11
Lynn & 19th St North,127,31
Lyttonsville Rd & Lyttonsville Pl,388,15
M St & New Jersey Ave SE,49,17
M St & Pennsylvania Ave NW,153,19
Madison & Fairfax St,451,15
Madison & N Henry St,382,15
Maine Ave & 7th St SW,88,19
Maine Ave & 9th St SW,505,15
Maple & Ritchie Ave,268,19
Market Square / King St & Royal St,190,15
Maryland Ave & E St NE,374,19
Massachusetts Ave & Dupont Circle NW,51,45
McKinley St & Connecticut Ave NW,347,19
